frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
298,16,[837.3762533422753 1662.134923858501 1472.5749190826186 2156.695775859912],[1038.7193603515625 2064.442138671875 1251.07666015625 2160.0],0.71608305,FJ14ZHY,0.415902016
298,199,[2353.8399611628565 1302.4624525637319 2980.1481921406566 1851.0252701211814],[2591.877197265625 1625.32763671875 2760.548095703125 1711.256103515625],0.512819231,EY61NBG,0.183948266
299,16,[834.0463678258068 1669.044462778248 1468.8180367731127 2156.778835275282],[1031.8319091796875 2079.9111328125 1242.7283935546875 2160.0],0.675285757,FJ14ZHY,0.391038801
299,199,[2358.8625684977133 1309.2852662681246 2983.4920517940377 1856.153337710813],[2588.650146484375 1634.414794921875 2770.399169921875 1717.98193359375],0.624350548,EY61NBG,0.750212706
300,199,[2357.4582583662173 1314.930950375926 2986.8549662487058 1866.6491169405163],[2598.08349609375 1618.7916259765625 2772.850830078125 1725.376220703125],0.585887372,EY61NBG,0.453454225
301,199,[2356.4450751959125 1318.591228749016 2991.331558320137 1876.086769414834],[2600.663330078125 1621.126220703125 2772.66455078125 1730.05126953125],0.552532792,EY61NBG,0.391421086
302,199,[2358.2097253334346 1322.110626436614 2995.229359059859 1881.966790302408],[2600.239013671875 1628.1500244140625 2771.16357421875 1742.1536865234375],0.545481384,EY61NBG,0.937776428
303,199,[2356.089541684823 1323.1704534441892 3001.7330634717664 1892.5843311411516],[2601.413818359375 1665.5401611328125 2777.828857421875 1743.853271484375],0.508119404,EY61NBC,0.49645816
304,199,[2356.8214254500085 1323.1273781192458 3007.6566097408377 1899.0471129669534],[2598.0263671875 1669.9793701171875 2779.13232421875 1747.4051513671875],0.597508788,EY61NBG,0.645124072
305,199,[2354.5448719797023 1328.5433563164895 3007.8980231515047 1908.9099927905029],[2601.751708984375 1668.3160400390625 2781.8857421875 1753.7947998046875],0.604947329,EY61NBG,0.503095591
306,199,[2355.046530724594 1333.9128239100928 3010.805680225658 1918.5011018650157],[2602.81640625 1680.54052734375 2782.327392578125 1764.2479248046875],0.617909193,EY61NBG,0.323924839
307,199,[2355.9146375791906 1340.053514728883 3008.6063822285732 1924.1785755030264],[2596.455078125 1686.668701171875 2780.501708984375 1762.9383544921875],0.590705335,EY61NBG,0.576286923
308,199,[2358.3459711218593 1348.7789195440864 3010.598444581977 1933.6428249906753],[2600.8291015625 1680.744140625 2787.7001953125 1782.0498046875],0.656339705,EY61NBG,0.606248
309,199,[2364.8751888576044 1353.6807852348052 3018.5527536038526 1940.4315426329294],[2618.98193359375 1696.5810546875 2787.313720703125 1786.624267578125],0.592861533,EY61NBG,0.418260346
310,199,[2373.04677076151 1361.4692760910325 3023.627473143128 1944.4254536699575],[2610.403076171875 1696.9654541015625 2789.93798828125 1793.0460205078125],0.574571311,EY61NBG,0.738239822
311,199,[2373.785616545422 1366.5086347738088 3029.218851262183 1954.2103164111395],[2613.353759765625 1694.1009521484375 2790.140625 1795.2198486328125],0.617125034,EV61NBG,0.660996158
312,199,[2376.308169011679 1372.2967900338886 3033.0357544182084 1960.680784062501],[2627.28173828125 1660.077392578125 2775.29443359375 1797.030029296875],0.27227661,EY61NBC,0.746900315
314,199,[2376.3528120035658 1386.6418598241753 3037.845953173277 1979.246449588095],[2617.66552734375 1733.3514404296875 2803.576171875 1814.7930908203125],0.613966942,EY61NBG,0.463105866
315,199,[2377.253980031922 1392.2085388233816 3043.3224380865777 1989.3096080702271],[2616.468017578125 1732.249267578125 2807.9013671875 1829.5350341796875],0.67621088,EY61MBG,0.316829293
316,199,[2378.0369642955084 1395.1585912203013 3045.0073332803986 1993.74026764784],[2622.66357421875 1719.16552734375 2807.912109375 1831.2623291015625],0.624976635,EY61NBG,0.60443063
317,199,[2382.3109452078006 1403.035231573308 3048.143930653736 1998.9563092679343],[2617.35888671875 1745.4169921875 2812.261474609375 1844.9241943359375],0.624044359,EY61NBG,0.330513616
318,199,[2386.1547360551613 1411.6828472994166 3050.744244055245 2005.4370377560294],[2622.36962890625 1762.9044189453125 2817.3779296875 1844.755859375],0.522936523,EY61NBG,0.690983398
319,199,[2389.097869243137 1415.6334652049377 3055.272305709424 2009.5241270154295],[2622.876708984375 1768.5560302734375 2819.199462890625 1854.5130615234375],0.635938227,EY61NBG,0.620199639
320,199,[2386.1715851430336 1421.5686751387948 3059.0722220531898 2021.5390701801564],[2628.038818359375 1781.015625 2815.925537109375 1861.9119873046875],0.624925494,EY61NBG,0.230689447
321,199,[2384.636616090116 1425.0264079901726 3064.0509795683456 2031.1473206070639],[2630.364990234375 1776.4483642578125 2819.826416015625 1861.9329833984375],0.633178174,EY61NBG,0.512013114
322,199,[2385.1569338662866 1426.9869565267584 3069.3474559331894 2037.9502681673184],[2632.415283203125 1783.137451171875 2826.748779296875 1877.3759765625],0.677316725,EY61MBG,0.343360573
323,199,[2386.818366030529 1429.3477486070603 3075.4842529631087 2045.0509479616637],[2641.209228515625 1778.2767333984375 2828.755859375 1885.2227783203125],0.516676426,EY61MBG,0.359074148
325,199,[2387.4688554843283 1441.906464170443 3074.917585407729 2058.994674241873],[2651.760498046875 1808.370849609375 2832.60302734375 1893.758056640625],0.602689385,EY61NBG,0.383034578
326,199,[2388.2151553696776 1451.7979557475667 3074.751981735295 2069.3779721991705],[2644.35302734375 1810.8072509765625 2829.30126953125 1905.6492919921875],0.646415532,EY61MBG,0.738847778
327,199,[2392.1589537013365 1460.4096554477724 3080.051865442559 2079.496634525028],[2644.875732421875 1825.147705078125 2832.4736328125 1912.05322265625],0.636760592,EY61NBC,0.382153315
328,199,[2392.3208263037745 1465.5297485796996 3080.6933441435067 2085.5774579734352],[2641.787109375 1830.5068359375 2828.48291015625 1915.40771484375],0.65929234,EY61NBG,0.408514382
330,199,[2401.212325498475 1478.8389031162837 3093.9747209532516 2101.2892227312705],[2648.810546875 1836.758544921875 2845.02392578125 1939.8077392578125],0.586138666,EY61NBG,0.302077082
331,199,[2404.4479762263895 1484.9237862214748 3100.234656752638 2109.07012462209],[2657.081787109375 1840.1033935546875 2847.84033203125 1941.3790283203125],0.610824883,EY61NBC,0.25691328
332,199,[2406.675752863559 1494.5603355440744 3103.186430668076 2117.9840029991738],[2659.315185546875 1844.7301025390625 2847.049072265625 1957.02685546875],0.279672116,EV61NBG,0.375123702
333,199,[2413.878388849806 1505.8318989648708 3109.504439320873 2125.567065916341],[2650.604248046875 1870.9639892578125 2857.01025390625 1961.1573486328125],0.665778577,EY61NBG,0.329115894
334,199,[2415.745370099665 1512.8784815149302 3112.0184091485844 2130.682803866298],[2655.720947265625 1875.9635009765625 2859.16064453125 1968.8858642578125],0.690980792,EY61MBG,0.501750171
335,199,[2415.249739570654 1518.8942476965262 3114.621322814074 2137.500538693285],[2656.88671875 1880.3001708984375 2865.092529296875 1980.5115966796875],0.665122628,EY61NBG,0.445452981
336,199,[2415.270893185561 1522.4631424692652 3118.734804304368 2143.236758373185],[2666.622802734375 1896.5867919921875 2867.079345703125 1983.512451171875],0.580589354,EY61MBG,0.582599143
338,199,[2415.6118181626402 1527.9216746052864 3119.421180582308 2147.0648035033655],[2670.115966796875 1909.0404052734375 2866.802734375 1999.4029541015625],0.65022397,EY61NBG,0.832563384
339,199,[2423.4924919857726 1532.7736629887477 3122.1053435532485 2144.6236222711145],[2669.39453125 1923.4610595703125 2877.437255859375 2006.9014892578125],0.680120945,EY61MBG,0.601737551
340,199,[2429.3509270988934 1536.3611632380537 3126.5227650503184 2143.62558103806],[2671.681640625 1924.5732421875 2872.5732421875 2013.0673828125],0.691295028,EY61NBG,0.950636903
341,199,[2435.888424025452 1546.1126772708692 3124.269269306718 2142.1112147934864],[2678.77978515625 1925.511474609375 2878.25048828125 2024.7216796875],0.685387373,EY61NBG,0.65025545
342,199,[2440.0661407136686 1557.3902474055901 3119.0403648001816 2140.688180497272],[2682.456298828125 1944.831298828125 2888.66796875 2036.0079345703125],0.643386602,EY61NBG,0.436549966
343,199,[2446.823064815077 1564.7702678364358 3122.0202487349534 2139.809304495471],[2683.066650390625 1959.258544921875 2891.774658203125 2043.964599609375],0.693162739,EY61NBG,0.490302529
344,199,[2452.5029947153917 1571.4316500750313 3129.0262299406695 2141.6723917614363],[2680.50537109375 1965.4031982421875 2884.9931640625 2052.03466796875],0.694527745,EY61MBG,0.377140962
345,199,[2456.097829840568 1575.6600217835 3137.107001073392 2143.703377800699],[2690.05615234375 1971.189697265625 2886.05078125 2063.458251953125],0.714607656,EY61NBG,0.292877949
346,199,[2460.9274009157575 1581.4941668427557 3141.8959651313025 2143.3591868572144],[2691.596923828125 1974.7698974609375 2897.38330078125 2073.039306640625],0.709172189,EY61NBC,0.829324276
347,199,[2466.087962595322 1591.4410887499398 3141.643939929101 2142.804114387556],[2690.98046875 1987.2469482421875 2907.537841796875 2088.11669921875],0.683567166,EY61NBG,0.562516613
348,199,[2468.058942274978 1601.2025528790741 3138.3154045524625 2142.369263000791],[2688.873046875 2000.736328125 2906.57958984375 2096.806884765625],0.71883589,EY61NBG,0.705116594
349,199,[2471.9000591406166 1609.054706240587 3144.871259455702 2145.3299248212525],[2691.276123046875 2010.3218994140625 2911.79052734375 2101.146484375],0.709656656,EY61NBG,0.40619227
351,199,[2478.397104571926 1618.9056254547766 3157.4207369134247 2146.031623511638],[2696.44189453125 2021.0126953125 2912.004638671875 2123.34765625],0.733988345,EY61NBG,0.536447588
352,199,[2483.683671885534 1623.0560324758123 3161.3164793798564 2141.0526290645203],[2694.873046875 2028.166259765625 2919.13916015625 2134.6494140625],0.697061241,EY61NBG,0.401521834
353,199,[2486.1800323350512 1630.379997517984 3166.1147438482258 2143.623005666667],[2703.23095703125 2052.81982421875 2919.781005859375 2139.113037109375],0.685676992,EV61MBG,0.41163155
354,199,[2495.66261753127 1642.1088133606188 3165.4770318467495 2138.3193425115187],[2709.416015625 2059.02099609375 2926.27734375 2149.836181640625],0.679914594,EY61NBG,0.849514426
354,144,[934.6913589570632 1331.7234217425075 1549.820974763014 1839.5932651726487],[1135.0277099609375 1677.62548828125 1293.998779296875 1752.002197265625],0.376557022,TV04HVE,0.164556594
355,199,[2499.95529493935 1649.1205103165682 3169.7991662373306 2136.7553419520227],[2709.6220703125 2065.166748046875 2926.802734375 2153.788330078125],0.705645025,EY61NBG,0.748569424
356,199,[2499.6691921638844 1658.4903737757024 3169.0194665511663 2138.1243003361838],[2714.272705078125 2071.111572265625 2925.61083984375 2160.0],0.705179513,EY61NBG,0.581120977
357,199,[2499.728574293646 1664.3413203477744 3178.4609545083995 2143.0664562134507],[2722.77978515625 2086.27685546875 2924.631591796875 2160.0],0.586271346,EY61NBG,0.411727299
358,199,[2505.697564816719 1668.893783366934 3192.0483182736393 2144.7456835774947],[2721.74853515625 2102.870361328125 2934.84228515625 2160.0],0.510992229,FY61NAG,0.208678146
373,144,[862.1746621476806 1429.174597677273 1518.5208350952457 1994.76950691429],[1076.10009765625 1786.5955810546875 1265.187255859375 1872.9869384765625],0.563899934,AV38RIF,0.063812364
378,144,[832.7874235244394 1450.328160060066 1491.2879378871908 2018.6716333967343],[1052.714111328125 1827.4365234375 1244.2669677734375 1909.8482666015625],0.56763953,IV08HVF,0.329952467
379,144,[827.7939038313187 1454.988424472442 1491.3421690222458 2027.740771819896],[1046.8392333984375 1830.3603515625 1236.693603515625 1910.457275390625],0.609189928,IV08HVF,0.321888854
393,144,[753.9975128333599 1536.8255869552893 1444.86516826247 2148.1723314240667],[996.8186645507812 1933.4794921875 1188.04736328125 2021.45361328125],0.663594663,AV08HVF,0.774238785
400,229,[2268.0618206072986 890.5661504796556 2991.404812887234 1776.2333450450706],[2577.43359375 1559.5643310546875 2737.6123046875 1643.0113525390625],0.382618248,GC65USJ,0.325798714
402,111,[2284.285469898187 919.0455171942626 2994.6550999081105 1789.6013244946307],[2564.345458984375 1569.7398681640625 2736.291748046875 1656.4150390625],0.424102396,EC65USJ,0.891801275
403,111,[2279.271495731344 918.340512527039 2983.5900892456693 1777.9207605336503],[2569.539794921875 1577.315185546875 2735.954833984375 1653.69287109375],0.299354821,EC65USJ,0.324987382
408,100,[2279.5733091875313 1697.056694838743 2929.2031877486825 2142.1769607053566],[2581.924072265625 1602.02490234375 2758.564453125 1691.19287109375],0.571723223,BG65USJ,0.560514127
410,144,[706.2618862624379 1649.163433285953 1370.2614761199698 2150.691319297721],[905.384765625 2068.837158203125 1118.0950927734375 2160.0],0.755048037,AV08HVF,0.581861048
411,100,[2300.0786716734096 1721.4492921093768 2947.933554997941 2141.617385028941],[2577.10791015625 1619.667236328125 2750.938720703125 1706.9429931640625],0.627573431,BG65USJ,0.775063504
412,100,[2299.9893255323877 1726.330113813227 2953.553436780217 2142.5227122117194],[2579.523193359375 1620.3116455078125 2757.37353515625 1708.6622314453125],0.602582872,BG65USJ,0.666449839
412,144,[701.307243767553 1665.9071748460215 1361.7563791105567 2150.46477440114],[907.4598999023438 2093.095458984375 1113.06787109375 2160.0],0.421108931,AV08HVF,0.455766165
416,100,[2316.7968417138577 1758.2255475619197 2977.669272853145 2144.6230091620437],[2585.7041015625 1648.31396484375 2754.633056640625 1732.8284912109375],0.61616677,BG65USJ,0.522560632
417,100,[2318.791669146787 1766.21059119657 2977.857735093761 2143.9120781927973],[2583.87158203125 1654.0220947265625 2762.969970703125 1744.7823486328125],0.621652007,BG65USJ,0.951572654
418,100,[2315.7779519717456 1773.5196414282566 2973.1028480873556 2142.408268537513],[2581.64892578125 1658.5291748046875 2763.731201171875 1745.265869140625],0.610955358,BG65USJ,0.789831604
420,100,[2321.016597952236 1794.8436321250665 2976.72729061997 2149.8713729625215],[2585.135009765625 1673.627685546875 2772.952880859375 1761.2117919921875],0.630634129,BG65USJ,0.386287723
421,100,[2328.684319133834 1800.8567261542826 2985.542247314217 2150.1857789082023],[2586.033935546875 1678.9674072265625 2769.107177734375 1766.0750732421875],0.628814101,BG65USJ,0.536051819
422,100,[2337.6957016947467 1809.0105111566265 2990.4727194676702 2150.0571826948235],[2585.769287109375 1681.664794921875 2765.3759765625 1767.32958984375],0.640456617,BG65USJ,0.837808925
424,100,[2337.5362708940056 1823.5490735670928 2989.2444398785565 2151.478836143232],[2581.899169921875 1694.935302734375 2768.004638671875 1787.14208984375],0.65013212,BG65USJ,0.462030753
428,14,[971.6731018071523 1288.0209523913045 1496.907861201712 1666.1604548445607],[1142.4404296875 1544.9337158203125 1292.1717529296875 1624.5919189453125],0.252583593,NA54KGJ,0.177477913
432,100,[2393.7309521219404 1893.426431961297 3008.743607658129 2142.7520852865014],[2591.0244140625 1749.52880859375 2784.535400390625 1836.979248046875],0.6503672,BG65USJ,0.573316084
433,100,[2386.2862553117006 1899.7945804201424 3003.616440101124 2139.756653085422],[2590.129638671875 1754.6531982421875 2781.439697265625 1839.7716064453125],0.606825292,BG65USJ,0.591187451
437,100,[2393.254110301882 1936.0970533176242 3002.5098017484456 2147.3044764849706],[2592.3251953125 1787.770751953125 2784.255615234375 1878.156005859375],0.642331481,BC65USJ,0.699472327
438,100,[2412.0969810197153 1948.9395837328684 3000.178116894894 2147.9127369508587],[2592.6259765625 1788.7470703125 2786.591796875 1882.417236328125],0.674314022,BG65USJ,0.515370617
440,100,[2439.2064403519503 1968.7625071228872 2995.774976384059 2147.8665170743293],[2588.956298828125 1801.158447265625 2783.37109375 1890.5003662109375],0.643685997,BG65USJ,0.790977375
441,100,[2454.1573701780003 1980.0213989392137 2988.7553910519773 2146.9954511776205],[2592.011962890625 1811.3499755859375 2788.19921875 1904.1536865234375],0.666445374,BC65USJ,0.673937001
443,14,[926.9801248595779 1338.628216948043 1473.7956456748816 1737.0028996047731],[1103.0804443359375 1601.647705078125 1276.3468017578125 1700.403076171875],0.368194699,NA54KGJ,0.309126311
449,100,[2508.351204438992 2037.9052894483505 2976.747865407507 2152.334020744054],[2594.475341796875 1865.8916015625 2791.3525390625 1962.9140625],0.690379024,BG65USJ,0.919904214
450,100,[2525.6112939932123 2045.2749083158265 2964.8375425877316 2152.5530570394108],[2592.153076171875 1882.3150634765625 2792.710693359375 1973.417724609375],0.697443664,BC65USJ,0.562139309
452,229,[2296.8267798426664 1068.7794955406864 3117.1557866551093 2137.1884647791003],[2592.1884765625 1895.0611572265625 2795.14404296875 1986.29638671875],0.68065089,BC65USJ,0.529972041
453,229,[2297.9180841843386 1075.7401093988153 3120.192881082904 2142.682881499234],[2590.374755859375 1904.950927734375 2798.268310546875 1999.94677734375],0.682783484,BG65USJ,0.459684424
464,111,[2292.4959327674155 1144.711525644033 3125.786744013622 2144.0848646512823],[2589.254150390625 1992.437255859375 2811.554443359375 2091.172119140625],0.70060432,GL65USJ,0.511663691
465,23,[1129.157864230876 1071.686695272561 1676.9173873188079 1586.0570058303138],[1305.3306884765625 1388.38525390625 1475.548828125 1473.115478515625],0.575445592,AK64DME,0.271298479
467,23,[1123.6203999279028 1074.9012076352612 1672.5850228348745 1589.9478439555903],[1305.10205078125 1395.310302734375 1473.2764892578125 1478.3323974609375],0.48969692,IK64OMY,0.181163007
468,229,[2291.16692690906 1160.0983236906063 3125.51834556582 2146.146510279389],[2590.177734375 2028.544677734375 2819.464599609375 2131.753173828125],0.714774907,EG65USJ,0.250264614
468,23,[1120.5008628651324 1077.0342891411558 1672.962763864525 1593.7393789078753],[1310.3807373046875 1393.7003173828125 1467.73828125 1486.2388916015625],0.603711247,AK64OMY,0.355671243
469,23,[1117.845106591876 1077.7780000088203 1672.9994077307201 1595.8775740322633],[1304.341552734375 1394.6090087890625 1465.3814697265625 1484.9432373046875],0.60715133,AK54OMV,0.363998017
470,23,[1111.7019305033764 1082.5893954853561 1666.8535379009854 1598.9117680659497],[1303.0986328125 1403.293701171875 1452.7314453125 1483.391357421875],0.496508479,AK64DMY,0.352172857
471,23,[1099.561439263533 1086.5958446395252 1657.3301567237086 1604.5043276884044],[1294.9229736328125 1400.6990966796875 1458.1981201171875 1493.733154296875],0.622217178,LK64DMV,0.189061942
472,23,[1096.8060978133549 1090.5195237225473 1654.7587330559227 1608.6896316302905],[1304.34814453125 1405.45654296875 1460.2127685546875 1499.26611328125],0.398273021,IK64DMV,0.300180499
474,111,[2262.149420266875 1203.3471381004554 3109.680343200799 2141.7494174353787],[2608.181640625 2091.756591796875 2818.920654296875 2160.0],0.65714711,BG65USJ,0.651789976
474,23,[1093.9333356241546 1095.6260138364296 1654.518357784624 1616.326709927122],[1299.4915771484375 1420.1800537109375 1454.9674072265625 1507.1551513671875],0.542165577,AK64OMV,0.183453233
475,23,[1092.595885827824 1096.6111363532584 1654.1065609007446 1618.7333252040457],[1291.329833984375 1415.360595703125 1449.70654296875 1507.59375],0.532916665,AK64OMV,0.475268198
478,23,[1094.8418170084308 1112.815236542935 1654.6347534183544 1635.034733500926],[1288.2679443359375 1432.0101318359375 1444.0203857421875 1510.232421875],0.486431301,AK64DMV,0.470704287
479,23,[1091.3635717192612 1115.8217122250435 1655.5231279437803 1642.8366711859508],[1292.024169921875 1434.632080078125 1443.7032470703125 1516.6241455078125],0.570704281,AK64DMV,0.383543558
482,23,[1082.8972276034692 1120.3195731349203 1649.9711952604823 1649.746383904556],[1283.3609619140625 1443.8712158203125 1440.009521484375 1524.0780029296875],0.571928799,AK64DMV,0.333794599
483,23,[1083.7150359999507 1125.1186351876977 1649.7479286481223 1652.917027825139],[1275.4227294921875 1442.0845947265625 1441.1749267578125 1529.825439453125],0.604680955,AN64DMV,0.341885057
484,23,[1083.596842461578 1129.0483256241725 1649.7998543134988 1656.0509197944878],[1258.0963134765625 1441.875 1430.991455078125 1529.29833984375],0.615778089,AN64DMV,0.53817419
485,23,[1079.1819246221803 1129.254079540448 1650.653506523442 1660.9155349380374],[1256.1339111328125 1447.0399169921875 1429.746826171875 1532.6748046875],0.601914942,AK66JMV,0.342889403
486,23,[1075.957707760567 1135.80876945422 1646.3780656017802 1665.1858159736273],[1246.7637939453125 1448.514404296875 1435.88720703125 1544.1708984375],0.572443187,AK64DMV,0.431822649
487,23,[1076.6799043845851 1140.525174919183 1645.1293721243655 1666.4736307801015],[1247.1475830078125 1449.6427001953125 1431.8460693359375 1546.3736572265625],0.626223326,AK64DMV,0.638698417
491,23,[1063.428686298014 1150.2576427003448 1643.6278801030012 1683.0612912337806],[1240.072021484375 1473.7540283203125 1426.3023681640625 1559.2496337890625],0.543939888,AM64DMV,0.2659459
493,14,[818.2436363583847 1559.3636186605586 1430.8248387920594 2018.187122441174],[1010.7998657226562 1870.5897216796875 1203.3194580078125 1963.5714111328125],0.55177772,NO54KGJ,0.042046261
493,23,[1054.5136605037521 1158.973052898984 1631.01306553401 1690.2236481359423],[1240.8275146484375 1477.959228515625 1425.4820556640625 1560.744140625],0.537198424,AK64DMV,0.48305503
494,23,[1051.602608641032 1161.0890110770233 1627.462480642842 1692.2795853629746],[1239.418212890625 1480.8863525390625 1423.6351318359375 1563.3563232421875],0.486164957,AN64DMV,0.632456137
495,23,[1051.9794492756407 1164.089465201622 1630.2299026141059 1697.570197693087],[1235.342041015625 1486.983154296875 1418.911865234375 1573.1280517578125],0.534677386,AK64DMV,0.539640578
496,23,[1047.4057450134387 1164.3821331471238 1628.318860580999 1700.7281519665125],[1244.3509521484375 1487.1204833984375 1419.7763671875 1573.867431640625],0.520185173,AK64DMV,0.480559665
496,14,[809.1486563910037 1572.9551650057576 1427.7950451484649 2038.709906049902],[1000.5333251953125 1885.2081298828125 1205.723876953125 1995.8675537109375],0.48616907,NO54KGJ,0.078757906
497,23,[1044.489468318445 1164.9708518991877 1628.122159487627 1703.9165428191395],[1238.9234619140625 1489.8416748046875 1412.068359375 1580.9945068359375],0.566065609,AK64DMV,0.859330353
500,23,[1030.3627704692256 1167.559681010404 1622.2802300004626 1713.2516170304507],[1209.3314208984375 1495.0118408203125 1408.0048828125 1595.12548828125],0.635417044,AK64DMV,0.633512886
501,23,[1025.33644299364 1172.4858698866967 1619.814002803022 1720.0698697583034],[1218.2081298828125 1506.1673583984375 1408.250732421875 1601.1148681640625],0.628536046,AK64DMV,0.522425398
501,14,[798.8167383901102 1597.598309969007 1421.8562121133205 2068.6312357157544],[999.0684814453125 1918.9881591796875 1201.469970703125 2026.4029541015625],0.44290778,NA55KQJ,0.065364597
502,23,[1024.1135082599842 1174.1883333827386 1619.5968075274782 1722.5032792947968],[1219.7740478515625 1511.0625 1407.1165771484375 1605.28564453125],0.595265329,AK64DMV,0.517949097
503,23,[1022.3214754551561 1177.2115319730551 1618.8353190060348 1726.9615755698594],[1216.684326171875 1515.5687255859375 1402.326904296875 1606.7867431640625],0.580964208,AK64DMV,0.587368475
503,14,[792.9717249665034 1611.2148447483287 1420.828371560282 2086.8337794159074],[985.4359130859375 1934.9111328125 1197.2369384765625 2048.076904296875],0.435403019,NA54KGJ,0.213096913
504,23,[1020.3309001116227 1179.8133539994437 1619.1397430210277 1732.0685849302404],[1211.9136962890625 1523.3096923828125 1393.583251953125 1606.4146728515625],0.607503831,AK64DMV,0.730141957
505,23,[1016.0991477860555 1182.3366131929683 1618.8065292990332 1738.789433786213],[1216.6300048828125 1524.3896484375 1400.246337890625 1607.35107421875],0.563490808,AK64DMV,0.699146927
505,14,[793.0772344205639 1624.2533946414255 1416.8596618861047 2095.8622736904863],[986.1473388671875 1948.36962890625 1193.6212158203125 2047.174072265625],0.556295395,NO54KCJ,0.127153165
506,23,[1015.1530302372258 1185.684942410519 1616.9240617031546 1741.4141907214835],[1213.847412109375 1527.796875 1397.047119140625 1616.490966796875],0.658263922,AK64DMV,0.465565929
507,23,[1013.7506449364487 1189.514828005671 1618.7611704701021 1748.382115540338],[1209.5487060546875 1531.128662109375 1397.2010498046875 1623.1552734375],0.671285391,AK64DMV,0.69195861
508,23,[1011.2092271091781 1191.5538322863445 1620.143714109352 1754.072270142728],[1210.68701171875 1538.1756591796875 1393.09130859375 1626.0501708984375],0.665901542,AR64DMV,0.480408583
509,23,[1003.902871196221 1196.4048570563637 1613.795083732295 1758.3932824805604],[1201.4937744140625 1536.5064697265625 1392.4981689453125 1630.9434814453125],0.67091614,AK64DMV,0.622682626
511,23,[1005.5310002406729 1203.087432188803 1616.9637395237846 1764.6369629323203],[1198.6051025390625 1544.5653076171875 1381.316162109375 1634.0928955078125],0.678628266,AK64DMV,0.602844095
513,14,[780.5461321020349 1668.5816240816494 1414.0272004350254 2146.264316889557],[974.5845336914062 2001.9620361328125 1189.96435546875 2105.453857421875],0.639943957,NA54KGJ,0.079745227
515,23,[990.3421610385021 1217.6097118316613 1604.7318635061347 1783.2455687410818],[1188.4339599609375 1563.8624267578125 1381.4249267578125 1654.9727783203125],0.656064868,AN64DMV,0.474647853
518,23,[979.9188445871455 1230.5407639534578 1597.790555901779 1800.3745100840467],[1187.896728515625 1576.5697021484375 1381.06494140625 1669.874755859375],0.678813875,AK64DMV,0.557068184
519,23,[979.2395483492654 1233.1431642712053 1597.4867010129906 1804.0347149095078],[1185.0419921875 1588.764404296875 1374.898193359375 1676.4375],0.666540623,AK54DMV,0.338744776
520,23,[977.3834877237573 1234.1716819654607 1596.4171258269594 1806.4788670191786],[1177.100830078125 1587.6676025390625 1368.681396484375 1679.8546142578125],0.700905621,AK64DMV,0.5457558
521,23,[976.1352414771181 1235.9588171936716 1594.422075624067 1808.1264158662154],[1173.0755615234375 1589.644775390625 1365.8779296875 1681.5765380859375],0.693132758,AK64DMV,0.264683773
522,23,[972.2176218135739 1240.3813015977112 1590.5985664530863 1813.0065675704695],[1173.76416015625 1594.885986328125 1367.4945068359375 1691.019287109375],0.686738729,AK64DMV,0.898365577
525,23,[957.6502293880092 1253.9198956557743 1585.3202714897932 1837.6502560064691],[1167.0494384765625 1609.6934814453125 1356.793212890625 1703.311279296875],0.674102306,AK64DMV,0.775639419
526,23,[954.2027217211696 1257.3000423174747 1581.7335489156296 1840.9407337750404],[1162.7784423828125 1614.96826171875 1356.790771484375 1705.099365234375],0.656216562,AK64DMV,0.929044344
527,23,[952.2084240774086 1261.3763312042877 1580.7884260390597 1845.3705956129043],[1167.8587646484375 1621.8037109375 1356.5057373046875 1716.7578125],0.687071085,AK64DMV,0.701142139
527,347,[2302.365937904812 1197.6436698367318 2880.0747408878706 1659.071157344576],[2517.98876953125 1500.7525634765625 2659.91748046875 1569.9151611328125],0.500994802,EF10OZT,0.185496053
528,23,[942.1464447019623 1263.400503448638 1575.7579034171117 1850.7596599247865],[1161.607177734375 1624.36669921875 1354.2645263671875 1723.512451171875],0.692240775,AK64DMV,0.509538948
529,23,[939.1182812149875 1266.0058440293694 1575.5354055296582 1855.2108173313109],[1163.552001953125 1631.1141357421875 1352.7127685546875 1728.9569091796875],0.686680377,AK64DMV,0.833274845
530,23,[939.9614912447632 1269.2374403685048 1575.2598295445237 1857.9943757609738],[1154.3177490234375 1633.53564453125 1348.6375732421875 1729.5938720703125],0.702841818,AK64DMV,0.457602916
531,23,[937.3058137842787 1274.2829587600409 1574.196063736295 1864.8413625130106],[1149.057861328125 1640.8553466796875 1341.1051025390625 1728.1490478515625],0.632644415,AK64DMV,0.716761865
534,23,[928.2756768611671 1284.399613709098 1573.5657422710005 1884.654272456048],[1147.3604736328125 1654.013427734375 1348.9541015625 1755.658203125],0.690767586,AK64DAV,0.604454907
534,347,[2314.7389948253954 1218.6496879953725 2881.0470377683505 1683.3039511588916],[2507.584716796875 1521.258544921875 2674.056884765625 1606.43701171875],0.481285781,EF10DZT,0.560174524
535,23,[926.5166782699893 1288.7016442830218 1571.1611070748877 1888.7079416203574],[1148.03466796875 1655.6656494140625 1346.625 1755.9693603515625],0.70292604,AK64DMV,0.777379181
536,23,[923.548772371334 1293.1155789307454 1569.5749719047903 1894.6940704259619],[1144.8751220703125 1670.5733642578125 1340.309814453125 1755.7452392578125],0.633666217,AK64DMV,0.694254076
