frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
110,1,[2054.652539816747 1126.3284981039233 2564.5454182520143 1573.570742490786],[2225.05517578125 1400.100341796875 2424.599853515625 1486.224365234375],0.453556627,AP05JEO,0.097166042
113,6,[914.3576615961422 1489.5711888423207 1664.1398716576628 2076.9588103952365],[1168.127197265625 1861.5787353515625 1384.998046875 1944.3533935546875],0.475438386,GX15OCJ,0.501545281
115,1,[2055.57715049935 1139.6373347191634 2575.7401532481554 1592.124157409754],[2223.23583984375 1426.1829833984375 2428.201171875 1512.7039794921875],0.385591894,AF05JEO,0.284389043
116,1,[2055.297581493554 1140.7200841362878 2580.4328695981826 1597.3718697939037],[2224.955322265625 1425.0340576171875 2433.66064453125 1511.080078125],0.438952684,AF05JEO,0.224068056
118,8,[1147.3523675930928 1075.6180736260967 1619.5800872444838 1487.4342484438428],[1300.2012939453125 1306.19580078125 1459.9512939453125 1387.9088134765625],0.29538551,KH05ZTN,0.206919228
121,6,[884.3434559965034 1544.261624493804 1640.7652831823489 2129.1681177915134],[1143.736083984375 1920.30517578125 1376.8848876953125 2014.4342041015625],0.61117214,GY15OCJ,0.456116388
121,1,[2050.120006588662 1160.967568606784 2588.7970476587334 1627.3586000566077],[2219.5244140625 1444.1788330078125 2435.157470703125 1534.49560546875],0.358196646,AF05JEO,0.440880807
122,6,[879.4659344441928 1552.1592189935159 1640.6434165146607 2139.4689779802948],[1139.357421875 1932.1124267578125 1363.520263671875 2021.3514404296875],0.590451539,GY15OCJ,0.512877004
122,1,[2050.1565712311362 1164.9106267185077 2590.9100496149213 1632.9961356218123],[2216.291259765625 1448.726806640625 2431.114990234375 1536.440185546875],0.442277104,AP05JEQ,0.337126037
123,6,[876.4027352857668 1560.1218535205937 1637.6865944108376 2145.62717301291],[1126.1781005859375 1939.98828125 1332.188720703125 2027.4185791015625],0.487741143,GX15OGJ,0.364955345
123,1,[2047.9237339385038 1171.916802543505 2587.485316983229 1637.6169724081667],[2236.782470703125 1466.7674560546875 2438.513427734375 1556.2496337890625],0.327630401,AF05JEO,0.20005489
124,6,[875.199593792382 1565.5937275108681 1634.9640506361384 2148.04234607103],[1135.6563720703125 1946.750732421875 1345.30224609375 2036.55810546875],0.504236341,GY15UGJ,0.264814119
124,1,[2046.0328846582838 1175.9835402708318 2586.590936384584 1641.2564475281229],[2229.05712890625 1463.0870361328125 2431.675048828125 1549.9947509765625],0.334750175,AF05JEQ,0.107345069
125,6,[877.6587248847818 1574.7045743061592 1630.8416441013965 2149.06792455066],[1138.798828125 1959.6060791015625 1350.710205078125 2052.628662109375],0.625652671,GY15OGJ,0.41383982
126,6,[880.4424851025327 1588.9964058884268 1621.5064993298029 2148.916234104937],[1125.6273193359375 1972.3602294921875 1339.426025390625 2070.005859375],0.652065516,GY15OGJ,0.25003596
126,1,[2050.6662900570177 1186.5877687128207 2592.407199255153 1652.0717802661322],[2222.48974609375 1467.27294921875 2447.348876953125 1559.208740234375],0.326197475,AP05JEO,0.330284765
127,6,[879.0059950436375 1596.8262618311287 1615.2878851343326 2148.098884320505],[1122.700927734375 1979.662841796875 1340.1895751953125 2071.9453125],0.618176877,GY15OGJ,0.66363732
128,6,[878.0907378839306 1605.4435457300838 1609.6713212239597 2147.3006151187747],[1107.686279296875 1982.2108154296875 1334.524658203125 2079.627197265625],0.602355421,GX15OGJ,0.354389842
129,6,[874.8465706183022 1611.358326048273 1603.9304474320732 2145.1671065976943],[1113.3709716796875 1996.6673583984375 1339.9566650390625 2089.74267578125],0.607036054,GX15OGJ,0.433251842
130,6,[872.7347145366166 1619.2303777114394 1600.3238571728461 2145.127875844297],[1118.23876953125 2012.2119140625 1321.7923583984375 2098.73291015625],0.654301107,GY15OGJ,0.353715952
130,34,[2272.7894601184234 1632.063700408315 2950.43299153764 2142.8333647173736],[2513.132568359375 1986.6822509765625 2728.450927734375 2086.21826171875],0.502255559,LM13VCV,0.526352317
131,34,[2276.773530231295 1639.359257012756 2950.9773378063082 2141.578992367563],[2505.326904296875 1998.4310302734375 2729.99072265625 2094.269775390625],0.409421146,LM13VCV,0.47178629
132,1,[2046.4136831879387 1206.0882189063634 2599.758642417648 1681.050673777245],[2226.8671875 1491.968994140625 2449.008544921875 1582.5157470703125],0.447386265,AP05JEO,0.209077771
133,34,[2278.3721998393917 1652.5279219628947 2950.931545012985 2142.8019479601194],[2515.295654296875 2009.2672119140625 2742.932861328125 2114.585693359375],0.652690053,LA13VCV,0.306987003
133,1,[2048.0424560552296 1209.847035394312 2600.6685675776207 1682.9979021422448],[2231.433349609375 1499.7454833984375 2422.339111328125 1583.955322265625],0.359330267,AP05JEO,0.406346723
134,34,[2275.5502097711146 1659.3513741311851 2952.854617946368 2147.9591608417463],[2510.445556640625 2017.584228515625 2737.931396484375 2124.93408203125],0.631274641,LM13VCV,0.456245804
135,34,[2277.6333661990693 1668.341006056179 2954.487033330127 2151.234383174539],[2515.891845703125 2034.4398193359375 2744.528076171875 2135.67578125],0.64776808,LM13VCV,0.34285774
135,1,[2045.9913995776683 1215.5481977866252 2603.0900744471232 1690.6219549313112],[2265.206787109375 1509.6947021484375 2466.044921875 1598.18408203125],0.444832712,AP05JEO,0.193237215
